Point_ID,Y,Z
558,409.2185577753793,-27.553906833657322
559,409.05046170335606,-27.374317567361537
560,408.83314286476525,-27.25907384132035
561,408.5901733387855,-27.22067587987094
562,406.2488651513572,-27.24101261056518
563,406.23984273676126,-27.240981980246907
564,405.5354563401406,-27.23008028153093
565,405.5192364985032,-27.230005392439637
566,404.7309775276399,-27.23492533224396
567,404.5639883021232,-27.235624826162372
568,404.55857210333136,-27.235608160608997
569,402.4430517774602,-27.213746726058538
570,402.42773615640306,-27.21374549476227
571,400.6075569890897,-27.232262226348357
572,400.5952477272058,-27.232184552085826
573,400.3288674059763,-27.226111902651557
574,400.3090048414024,-27.225923298400232
575,397.9415705802441,-27.23492577323477
576,396.9893815843599,-27.235634293718324
577,391.6307712557623,-27.203535189937696
578,391.6229549566642,-27.203406507657192
579,388.3360243298912,-27.11486674096487
580,388.323044013697,-27.114629962799302
581,385.18871759021704,-27.084701869045443
582,385.1828266953279,-27.084599140223926
583,384.89526896522113,-27.07731506386615
584,384.1269153504368,-27.057035662439365
585,383.74459235383785,-27.046504100669758
586,383.7389551604934,-27.046306190210952
587,382.79759450388843,-27.006136037170116
588,382.79124501391607,-27.005892142543246
589,378.6503779147924,-26.864471878154664
590,378.64224178505305,-26.864105146540915
591,373.4523909565394,-26.57343550157205
592,373.42217327004136,-26.57235610055685
593,372.18205619003595,-26.553179337987164
594,372.1736788090796,-26.55295574848887
595,370.22984543773384,-26.479240947320147
596,369.112389483269,-26.43053989924029
597,369.09110593879234,-26.4290016093215
598,368.53464279836857,-26.372755333028607
599,368.45561119510137,-26.36897918223982
600,368.2560923394331,-26.370026292451723
601,368.2376547977808,-26.36966766513172
602,367.42133323747817,-26.33360765517559
603,367.41578814951913,-26.33332138924077
604,366.2093581204299,-26.262042827168234
605,366.1932854089244,-26.260744435181465
606,365.055512743675,-26.144056284798033
607,365.0170445830795,-26.14111271574715
608,363.08564927238876,-26.04341581140644
609,362.792372371397,-26.08753883198647
610,362.5393881776085,-26.24231990089884
611,362.3665856850979,-26.483354089723946
